
2025-11-24 21:43:17.470188 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180718-WA0002.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.511185 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180718-WA0003.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.554189 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180729-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.596182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180802-WA0000.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.639185 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180819-WA0007.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.683181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180822-WA0003.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.725181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180904-WA0007.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.768182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180906-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.810184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180913-WA0011.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.853186 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180913-WA0012.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.897203 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180916-WA0000.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.941191 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180916-WA0003.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:17.985189 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20180916-WA0004.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.026184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181010-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.072190 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181010-WA0003.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.113184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181103-WA0021.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.155182 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181122-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.200200 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181123-WA0003.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.245181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181127-WA0004.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.288181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181127-WA0005.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.334189 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181127-WA0006.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.377181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181207-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.420181 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181208-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.464189 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181214-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.506184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20181216-WA0000.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.550186 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20190727-WA0018.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.613183 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20190727-WA0029.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.656183 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20190727-WA0036.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.698184 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20190727-WA0051.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:43:18.741190 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20191104-WA0001.mp4', 'SH1']' returned non-zero exit status 3489661477.
2025-11-24 21:45:38.657565 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\.nomedia', 'SHA1']' returned non-zero exit status 2147943406.
2025-11-24 21:47:38.966166 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\.nomedia', 'SHA-1']' returned non-zero exit status 2147943406.
2025-11-24 21:47:39.003177 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170728-WA0005.mp4', 'SHA-1']' returned non-zero exit status 3489661477.
2025-11-24 21:47:39.041164 Command failed with error: Command '['Certutil', '-hashfile', 'C:\\ПЕРЕМЕСТИТЬ\\Изображения\\A5\\WhatsApp Video\\Sent\\VID-20170729-WA0013.mp4', 'SHA-1']' returned non-zero exit status 3489661477.
